title,author,pub_year,venue,abstract
Inbreeding depression maintained by recessive lethal mutations interacting with stabilizing selection on quantitative characters in a partially self‐fertilizing population,"['R Lande', 'E Porcher']",2017,Evolution,"The bimodal distribution of fitness effects of new mutations and standing genetic variation, due to early‐acting strongly deleterious recessive mutations and late‐acting mildly deleterious mutations, is analyzed using the Kondrashov model for lethals (K), with either"
Consequences of stabilising selection for polygenic variation,['K Mather'],1987,Heredity,A number of earlier authors have investigated the consequences for fitness of gene differences affecting the expression of a primary character where stabilising selection is acting in favour of an optimal expression. Assuming that the mean expression must be at or
Birth weight in pigs descended from irradiated spermatogonia,['DF Cox'],1967,… Research/Fundamental and Molecular Mechanisms of …,Birth weights of individual descending from irradiated spermatogonia were studied in 2 breeds of domestic pigs. The data included measurement on 30965 pigs born between 1960 and 1966 on a single farm. The average birth weight was 1.3 kg. The weights were
Populations in time and space: synthesis,['AA Buzzati-Traverso'],1955,Cold spring harbor symposia on …,"POPULATIONS IN TIME AND SPACE 301 tion could have a fitness higher than that of another population of the same species, it appears rather difficult to identify and measure such difference. In concrete terms, we should compare two populations with respect to each"
Alan Robertson (1920-1989),['TFC Mackay'],1990,Genetics,"ALAN ROBERTSON was born on February 2 1, 1920, in Preston, England, and died in Edinburgh on April 25, 1989, after a long illness. His early education was at the Liverpool Institute, and he then went on to Gonville and Caius College, Cambridge University, from"
The stochastic model of non-equilibrium mutagen-induced alterations of DNA: Implication to genetic instability in cancer,"['D Triampo', 'W Triampo', 'IM Tang', 'Y Lenbury']",2007,Biosystems,"Genetic alterations such as point mutations, chromosomal rearrangements, modification of DNA methylation and chromosome aberrations accumulate during the lifetime of an organism. They can be caused by intrinsic errors in the DNA replication and repair as well"
Maze-learning ability in rat populations after a number of generations of gonadal irradiation,"['JF McGregor', 'HB Newcombe']",1962,Radiation Research,In 1956 an attempt was made to estimate the possible effect of a radi duced increase in mutation rate on the distribution of intelligence scores populations (1). These calculations served primarily to point out deficienc knowledge of the effects of increased mutation rates
TOR® S,"['TFC Mackay', 'RF Lyman', 'MS Tackson', 'C Terzian']",NA,NA,
Fitness of experimental populations of Drosophila melanogaster,['W Van Delden'],1968,NA,"Page 1. University of Groningen Fitness of experimental populations of Drosophila melanogaster van Delden, Wilke IMPORTANT NOTE: You are advised to consult the publisher's version (publisher's PDF) if you wish to cite from it. Please check the document version below. Document"
Induced mutations in polygenic systems,['K Aastveit'],1966,Hereditas,"RESENT knowledge on spontaneous and induced mutability of P genes that govern quantitative characters is rather scanty. Nevertheless, a better understanding of the mutation process in such genetic systems and the nature of the induced variability is of utmost"
P-Elements and Quantitative Variation in Drosophila,"['C Moran', 'A Torkamanzehi']",1990,Ecological and Evolutionary Genetics of …,"Mutation is ultimately the source of all evolutionary change. For this reason, much effort has been expended in understanding the nature of mutational changes and in attempting to measure and predict the consequences of variation in rates of mutation on levels of genetic"
A biophysical theory for radiation-induced polygenic mutations,['S Kondo'],1963,Journal of Genetics,General equations have been derived for estimating polygenic mutation rate per locus per unit dose. It is argued that the present method for estimating polygenic mutation rate is on the same basis as the conventional method for obtaining major gene mutation rate. An
GENETIC IMPROVEMENT BY COMBINING SUPERIOR ALLELES FROM DIFFERENT POPULATIONS IN A NATURALLY CROSS-FERTILIZING SPECIES.,['YT Ho'],1974,NA,Degree: Ph. D. DegreeYear: 1973 Institute: University of Minnesota БИБЛИОМЕТРИЧЕСКИЕ ПОКАЗАТЕЛИ: Входит в РИНЦ®: да Цитирований в РИНЦ®: 0 Входит в ядро РИНЦ®: нет Цитирований из ядра РИНЦ®: 0 Норм. цитируемость по
Evolutionary models of quantitative disease risk factors,"['A Connor', 'KM Weiss', 'SC Weeks']",1993,Human biology,Numerous mutations are now known that have significant effects on various phenotypes; many of these mutations are of interest because they influence quantitative risk factors for major diseases. Such diversity raises the question of how much genetic heterogeneity we
The relevance of experiments with laboratory animals to the genetic improvement of farm livestock,['DS Falconer'],NA,NA,
Relative applicability of the classical and the balance hypotheses to man. Especially with respect to quantitative characters,['M Kimura'],1960,Journal of Radiation Research,"Contrasting properties of the classical and the balance hypotheses as applied to quantitative characters were examined in the light of existing data in human genetics. It was concluded that among the loci concerned with a quantitative character in man, overdominant loci are in"
Polygenic mutation rates for chaeta characters in Drosophila melanogaster,['Y Yamada'],NA,NA,
"Mutation, selection and quantitative genetic variation.",['WG Hill'],1990,Population biology of genes and molecules,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索
Quantitative genetic differences between populations of Drosophila melanogaster from diverse geographic origins,['C Salgado'],1984,Genetica,Crosses were made between each seven populations of Drosophila melanogaster-three of which were laboratory populations and four were recently captured populations-and a line previously selected for low sternopleural bristle number for many generations. In each of six
A neutrality test for continuous characters based on levels of intraspecific variation and interspecific divergence,['AG Clark'],1994,Non-Neutral Evolution,One of the most powerful approaches for inferring the action of evolutionary forces is the comparison of intraspecific nucleotide polymorphism to the divergence between species in DNA sequences. The infinite sites model of neutral molecular evolution provides a well
A genetic model of interpopulation variation and covariation of quantitative characters,['ZB Zeng'],1989,Genetics Research,"Evolutionary consequences of natural selection, migration, genotype–environment interaction, and random genetic drift on interpopulation variation and covariation of quantitative characters are analysed in terms of a selection model that partitions natural"
Transposable elements in genetic selection,['TFC Mackay'],1986,Exploiting new technologies in animal breeding …,
Effects of spontaneous and induced mutations on selection response,"['E Grundl', 'L Dempfle']",1990,Proc. 4th World Congress on Genetics Applied to …,"Spontaneous and induced mutations may increase selection response. Negative effects of mutations can be overcome by selection. However, it seems to be hardly possible to accumulate induced mutations in unselected populations. In some experiments with"
"Evolución morfológica asociada al proceso de divergencia entre especies: el cluster Drosophila buzzatii (Diptera, Drosophilidae)",['IM Soto'],2008,NA,¿ Porqué hay especies morfológicamente crípticas sólo diferenciables por su genitalia?¿ Qué procesos están involucrados en la diferenciación morfológica de las especies y cuál es la importancia relativa de cada uno de ellos?¿ Qué patrones determinan estos procesos
Genetic effects of radiation,['H Annex'],1977,translocations,"1. The 1972 report of the Committee (589) presented a comprehensive review of the genetic effects of ionizing radiation. The present report will be devoted to (a) an updating of the 1972 report, especially those parts that require significant revision in the light of information that"
Genetic variability maintained in a finite population due to mutational production of neutral and nearly neutral isoalleles,['M Kimura'],2007,Genetics Research,"Page 1. Journal Compilation. f 2008 Cambridge University Press. Genet. Res., Camb. (2007), 89, pp. 341–363. 341 doi:10.1017/S0016672308009518 Printed in the United Kingdom https://doi.org/10.1017/S0016672308009518 Downloaded from https://www.cambridge.org"
Genetic analysis of the interspecific difference in the bristle number of the sixth sternite of males in Drosophila auraria complex The effect of each chromosome,"['T HARA', 'H KUROKAWA']",1984,The Japanese Journal of Genetics,"Male flies of Drosophila auraria have about 14 bristles on the 6th sternite, while those of D, biauraria have generally none. Backcross experiments were made by using mutant markers of D. auraria chromosome. It was found that both the X and A-chromosomes were obviously"
"The Illinois long-term selection experiment, related studies, and perspectives",['T Rocheford'],2009,Handbook of Maize: Its Biology,The Illinois Long-Term Selection Experiment was started in 1896 and represents the longest ongoing directional selection program in plants. The experiment was initiated to determine whether selection could alter levels of protein and oil in the maize kernel. The
Variance component analysis of bristle characters in local populations of Drosophila melanogaster,"['M Ichinose', 'H Tachida', 'T Mukai']",1992,The Japanese Journal of Genetics,抄録 The genetic variabilities of sternopleural and abdominal bristle numbers existing in local natural populations were assessed. Using second chromosome lines of Drosophila melanogaster extracted from three natural populations in Japan (the Ishigakijima
Effects of ancestral x irradiation followed by random mating on body weight of rats,"['D Gianola', 'AB Chapman', 'JJ Rutledge']",1977,Genetics,"Effects of nine generations of 450r per generation of ancestral spermatogonial X irradiation of inbred rats on body weight were examined. After six generations of random mating (avoiding inbreeding) following the termination of irradiation, descendants of irradiated"
Genetic effects of ionizing radiations,['HB Newcombe'],1966,Strahlenbiologie/Radiation Biology,"It is now over 35 years since the production of hereditary changes, or mutations, by exposure to Roentgen rays was demonstrated by Muller (1927, 1928a and b) in the fruit fly, Drosophila, and by Stadler (1928a, b and c) in maize and barley. Since then, the mutagenic"
ガンマ線照射によるセイロンベンケイソウの CAM/C3 型光合成突然変異株の作出 (1),['川満芳信， 川元恵子， 渡慶次努'],2000,NA,"抄録 本報では, セイロンベンケイソウにガンマ線を照射することで, 光合成型が CAM から C3 型へ変更する突然変異誘発を試みた. 以下はその結果の要約である. 1) 培養においてセイロンベンケイソウの葉片は, 2, 4-D, BA 各 0.5 ppm を添加した培地において脱分化し, NAA, BA 各 0.5"
A method for detecting effect of beneficial mutations in natural populations of Drosophila melanogaster,"['A Koga', 'S Kusakabe', 'F Tajima', 'T Takano']",1991,Genetics …,"An experimental method is proposed for detecting the effects of positive natural selection on DNA polymorphisms. Since beneficial mutations are expected to increase in frequency faster than neutral mutations, variants which have reached high frequencies in a relatively"
Environmental mutagenesis in a genetical perspective,['RJ Berry'],1971,International Journal of Environmental Studies,"It is easy to be alarmist about the release of potential mutagens into the environment on the basis of: Mutations are bad More mutations are disastrous. However, it is relatively easy to show that these equations are wrong, in that we have to take into account a number of"
Morphological and reproductive variation under four environmental pressures in an inbred strain of Drosophila melanogaster,['TV COME'],1963,NA,DISCUSSION................................................................ 28 SUMMARY ANDCONCLUSIONS.................................................... 35 LITERATURE CITED........................................................... 37 APPENDIX.................................................................. 41 iv Tables Page 1. Measures of
Comparison of single trait and index selection in sheep and a study of the effectiveness of selection in rats,['RL Baker'],1971,NA,RESULTS. 155 A. Adjustment of Data155 3. Estimation of Environmental Shifts157 V C. Response to Selection Within Singleand Tv/in C-roups161 D. Response to Selection for All Linesfrom 1966 to 1970168 DISCUSSION179 SUMMARY AND CONCLUSIONSI90 PART II
In: VITO VOLTERRA SYMPOSIUM OF MATHEMATICAL MODELS IN BIOLOGY,['M Nei'],NA,NA,
Quantitative genetic variation induced by P transposable elements in Drosophila melanogaster,['C Lai'],1990,NA,"To determine the ability of the PM hybrid dysgenesis system of Drosophila melanogaster to generate mutations affecting quantitative traits, X chromosome lines were constructed in which replicates of isogenic M and P strain X chromosomes were exposed to a dysgcnic"
5. Neutral Models of Phenotypic Evolution,['M Lyxch'],2017,Ecological Genetics,"For twenty-five years, applications of Kimura's (1968, 1983) neutral model have led to fundamental advances in our understanding of the mechanistic basis of molecular diversity within and between species. Sub stantial debate still exists over the relative significance of"
The Importance of Mutation Rate in Evolution,"['JF Crow', 'C Denniston']",1985,Advances in Human Genetics 14,
"parents of the next generation, the selection intensity thus being 20 percent. In some strains of later generations, however, selection could not be …",['O KITAGAWA'],NA,NA,
"University of Texas at Houston, Houston, Texas 77025",['M Nei'],NA,NA,"The stochastic theory in population genetics has a long history. In his l922'paper Fisher first studied the effect of genetic drift on the genetic variability of a random mating population, introducing a new» concept of stochastic change of gene frequencies. He reached the"
TYPES OF MUTATION PRODUCED AT KNOWN GENE LOCI AND POSSIBILITY OF HITHERTO UNRECOGNIZED MUTATIONS BEING INDUCED,['TC CARTER'],1957,Effect of Radiation on Human Heredity …,
Induced genetic variability for quantitative traits and identification of male sterile lines in soybean [Glycine max (L.) Merrill,['GC Shekar'],2014,NA,"Soybean (Glycine max L.) cultivar PK 1029 was subjected to gamma irradiation at doses of 20, 30 and 40 kR; EMS at the doses of 0.05%, 0.10% and 0.15%; their combinations to isolate chlorophyll and viable mutations and to induce genetic variability in M2 generation"
Population genomics: patterns of genetic variation within populations,['G Gibson'],2004,"Encyclopedia of Genetics, Genomics, Proteomics …","Population genomics is the study of the forces that shape the distribution of molecular variation within and among populations, on a genome‐wide scale (Luikart et al.,). Throughout the twentieth century, the mathematical theory of the history and fate of alleles"
selection on traits in commercial species. Drosophila can fulfil the first two of these functions but other species,['R FRANKHAM'],NA,NA,"Traditionally, Drosophila has been used as a research organism for four main reasons,(a) Short generation interval and high fecundity (b) Low cost of culturing individuals (c) Easily studied polytene chromosomes (d) Range of available stocks and techniques (eg balancer"
"Gunter P. Wagner, Ginger Booth, and Homayoun Bagheri-Chaichian Department of Biology and",['GP Wagner'],NA,NA,
copyright in this thesis. Neither the,['W Street'],1997,NA,The work presented here investigates two basic properties of mutation rates in the unicellular chlorophyte Chlarnydomonas reinhardtii. The first chapter is devoted to an investigation of the mutational heritability (VM) of fitness in asexually propagated
Heterozygosity in inbred lines of Tribolium castaneum,['R Goodwill'],1969,NA,
their quantitative relationships with respect to the used doses of ionizing radiations and their harmfulness for the species are entirely based on our know,"['AA BUZZATI-TRAVERSO', 'RE SCOSSIROLI']",1956,Biological Sciences,
TYPES OF MUTATION PRODUCED AT KNOWN GENE LOCI AND POSSIBILITY OF HITHERTO,['TC CARTER'],NA,EFFECT OF RADIATION,"It is commonly accepted as a working hypothesis that ionizing radiations do not induce new types of mutation, but only raise the mutation rates of existing alleles. The basis of this assumption is partly theoretical and partly experimental. The theoretical argument rests on"
Sewall Wright's view on the role of genetic drift in evolution is,['M Nei'],NA,NA,
"A STUDY OF THE EFFECTS OF X-RAY IRRADIATION ON A QUANTITATIVE CHARACTER, PUPAL WEIGHT, UNDER VARIOUS GENETIC BACKGROUNDS …",['SI Chigusa'],1968,NA,RESULTS.................................................................. 76 Numbers of offspring in generation................................ 75 Means of pupal weight in generation two........................ rjcj Phenotypic variances of pupal weight............................. 35 Beritability of pupal
responses to selection for polygenic traits in irradiated populations of D. melanogastert,"['RE SCOSSIROLI', 'S SCOSSIROLI']",1962,Papers on Animal Population …,
Quantitative trait loci for sensory bristles in Drosophila melanogaster,['MC Gurganus'],1997,NA,High resolution mapping of the QTLs responsible for naturally occurring variation in bristle number in a population of Drosophila melanogaster was carried out on recombinant isogenic (RI) X and third chromosomes derived from high and low sternopleural (SB) bristle
Studies of quantitative genetic variation,['PD Keightley'],1988,KB thesis scanning project 2015,
quantitative traits,"['WG Hill', 'SH Mbaga']",2012,Mutation and Evolution,"There is substantial new variation for quantitative traits generated by mutation that can be utilised by artificial selection. With long-term selection, however, response is often attenuated and a selection limit sometimes reached, even though genetic variation is"
Molecular analysis of a gene affecting a quantitative trait in Drosophila melanogaster,['P Zur Lage'],1993,NA,"During an artificial selection experiment by TFC Mackay for high and low abdominal bristle number in lines of Drosophila melanogaster which had been exposed to P element mutagenesis, a new allele of the smooth gene exhibiting an extremely low number of bristles"
Interplay between high drift-high selection limits the genetic load in small selfing maize populations,"['A Desbiez-Piat', 'A Le Rouzic', 'MI Tenaillon', 'C Dillmann']",2020,bioRxiv,"Population and quantitative genetics provide useful approximations to predict the evolution of populations and theirmultilocus adaptive dynamics. They are not supposed to hold under extreme parameter combinations, for which deviationsneed to be further quantified to"
Context-dependency of mutation and the maintenance of genetic variation for life -history traits in natural populations of Daphnia pulicaria,['KK Morgan'],2001,NA,Mutation for fitness characters is integral to the long-term evolution and persistence of populations. Much debate remains concerning estimates of mutation rates and average mutational effects. The primary goal of the following chapters is to explore mutation for life
"Way, London NWI 2HE, UK",['M Turelli'],1989,Annual Review of Genetics,
MUTATION IN QUANTITATIVE TRAITS INDUCED BY NEUTRON IRRADIATION,['RD Brock'],1969,"Symposium on Neutrons in Radiobiology, November …",The spectrum of effects in quantitatively inherited traits in higher organisms produced by neutrons is remarkably similar to those produced by other mutagens. In view of the efficiency of neutrons in inducing chromosomal changes compared with some chemical mutagens
Theoretical basis of radiation breeding,['Y Tajima'],1961,Japanese Journal of Breeding,"GREGORY の仕事は育種に密着していたために果して照射効果だけに帰せられるかどうかの点では疑問の点を残しているが, SCOSSIROLI の研究は選抜が飽和に達した蜀々卿の plateau 集団を材料としたので放射線の効果を極めて明瞭に示すことができた. SCOSSIROLI"
Maintenance of Quantitative-Genetic Variation,['N Bohr'],NA,NA,"Genetic variation is a ubiquitous feature of natural populations. The nature of the forces responsible for maintenance of this variation, be it the distribution of allele frequencies, the level of heterozygosity, the amount of additive variation in a trait, or the joint distribution of"
RATES OF SUBLINE DIVERGENCE IN,['DW BAILEY'],1959,The Journal of Heredity,
Estudio de las diferencias genéticas entre poblaciones de Drosophila melanogaster para un carácter cuantitativo,['MCS Morales'],1984,NA,RESULTADOS......................................... 2 2 1. La llnea B.............. 22 2. Las poblaciones base...................... 24 3. Las poblaciones sintticas.......... 24 4. Las repeticiones seleccionadas (5/25).... 28 5. Cruzamientos de trs vas (15/75)........ 34 6. Cruzamientos de seis vas
Istilacı Bir Drosophilid Türü Olan Zaprionus Tuberculatusun Doğal Popülasyonlarında Nörosensör Kılların Dar-Anlamlı Kalıtsallığının Gösterilmesi,['Ö Sezer'],2013,NA,"In the present study, natural populations of Zaprionus tuberculatus, an invasive Drosophilid distantly related to the model organism Drosophila melanogaster were investigated with respect to the variation, narrow-sense heritability and evolvability of the bristle number on"
第 1 報 急照射の場合 (ガンマ線照射によるセイロンベンケイソウの CAM/C_3 型光合成突然変異株の作出),['川満芳信， 川元恵子， 渡慶次努'],2000,琉球大学農学部学術 …,"本報では, セイロンベンケイソウにガンマ線を照射することで, 光合成型が CAM から C_3 型へ変更する突然変異誘発を試みた. 以下はその結果の要約である. 1) 培養においてセイロンベンケイソウの葉片は, 2, 4-D, BA 各 0.5 ppm を添加した培地において脱分化し, NAA, BA 各 0.5"
Quantitative Genetik 2,['K Schmid'],NA,NA,
COMITE DE REDACCION,"['R ALENDA', 'MR ALVARIÑO']",1989,Investigación …,
Schwein-Erfahrungen mit der Auswertung eines Immunkompetenzschemas.... 189,"['H BUSCHMANN', 'H KRÄUSSLICH']",1985,… für Tierzüchtung und …,
ЭФФЕКТИВНОСТЬ ОТБОРА ПО ДЛИНЕ ГРУДИ В МОДЕЛЬНЫХ ПОПУЛЯЦИЯХ ДРОЗОФИЛЫ ПРИ ВОЗДЕЙСТВИИ ХИМИЧЕСКИМ МУТАГЕНОМ,"['ВК САВЧЕНКО', 'КГ ЕЛИСЕЕВА']",1982,Genetika,
Seminario de Genética de Poblaciones Curso PEDECIBA Biología 2008,"['E Lessa', 'F Álvarez-Valín', 'G Guerberoff']",NA,NA,
TYPES DE MUTATIONS PRODUITES A DES LOCI CONNUS ET POSSIBILITÉ D'INDUCTION DE MUTATIONS NON ENCORE APERÇUES Irradiation de …,['TC CARTER'],NA,EFFETS GÉNÉTIQUES DES RADIATIONS CHEZ L' …,"Les radiations ionisantes ne produisent pas de nouveaux types de mutations; elles ne font qu'augmenter les taux de mutation des allèles existants. Telle est, du moins, l'hypothèse de travail communément admise. Elle repose sur des considérations théoriques et sur des"
Estudio de las diferencias genéticas entre poblaciones de Drosophila melanogaster para un carácter cuantitativo,['MC Salgado Morales'],2015,NA,"El estudio de las diferencias genéticas entre poblacio nes es objeto de un considerable numéro de trabajos de investigacién. Estas diferencias pueden ser de dos tipos: cualitativas, si existen alelos en unas poblaciones que estân ausentes en otras, y"
