title,author,pub_year,counts
정신장애의 진화유전학적 모델,['MD Hanson Park'],2019.0,1
A Large Panel of Drosophila simulans Reveals an Abundance of Common Variants,"['SA Signor', 'FN New', 'S Nuzhdin']",2018.0,1
A universal temperature-dependence of mutational fitness effects,"['D Berger', 'J Stångberg', 'J Baur', 'RJ Walters']",2018.0,1
An evolutionary compass for elucidating selection mechanisms shaping complex traits,"['LH Uricchio', 'HC Kitano', 'A Gusev', 'NA Zaitlen']",2018.0,1
Article (Discoveries),"['AS Saxena', 'MP Salomon', 'C Matsuba', 'SD Yeh']",2018.0,1
Decoupling of heterosis and inbreeding variances is evidenced in yeast's life-history and proteomic traits,"['M Petrizzelli', 'D de Vienne', 'C Dillmann']",2018.0,1
Detecting polygenic adaptation in admixture graphs,"['F Racimo', 'JJ Berg', 'JK Pickrell']",2018.0,1
Epistasia multidimensional y la rugosidad de los paisajes adaptativos y factores del huésped que determinan la eficacia viral,['H Cervera Benet'],2018.0,1
Evidence of directional and stabilizing selection in contemporary humans,"['JS Sanjak', 'J Sidorenko', 'MR Robinson']",2018.0,1
Evolution of genetic variance during adaptive radiation,"['GM Walter', 'JD Aguirre', 'MW Blows']",2018.0,1
Evolutionary constraints in fitness landscapes,"['L Ferretti', 'D Weinreich', 'F Tajima', 'G Achaz']",2018.0,1
"Evolutionary lessons from Drosophila melanogaster for colonization. How do history, selection and effective population size shape evolution?",['MAA Dos Santos'],2018.0,1
Evolutionary rescue over a fitness landscape,"['Y Anciaux', 'LM Chevin', 'O Ronce', 'G Martin']",2018.0,1
Female Life-History Trade-Offs and the Maintenance of Genetic Variation in Drosophila melanogaster,['D Arbuthnott'],2018.0,1
Inferring the shape of global epistasis,"['J Otwinowski', 'DM McCandlish']",2018.0,1
Metapop user documentation,"['JP Soularue', 'L Arnoux', 'A Thöni', 'A Kremer']",2018.0,1
Mutation accumulation in populations of varying size: large effect mutations cause most mutational decline in the rotifer Brachionus calyciflorus under UV‐C radiation,"['P Luijckx', 'EKH Ho', 'A Stanić']",2018.0,1
Negative frequency-dependent selection is frequently confounding,['D Brisson'],2018.0,1
Neutral theory and phenotypic evolution,['J Zhang'],2018.0,1
Neutral theory and the evolution of human physical form: An introduction to models and applications,['T Weaver'],2018.0,1
Ontogenetic allometry conservatism across five teleost orders,['KM da Silva Alcantara Castro'],2018.0,1
Parallel genetic evolution and speciation from standing variation,"['KA Thompson', 'MM Osmond', 'D Schluter']",2018.0,1
Phenotypic lag and population extinction in the moving-optimum model: insights from a small-jumps limit,"['M Kopp', 'E Nassar', 'E Pardoux']",2018.0,1
"Povijest, sadašnjost i izazovi procjene aditivne varijance",['M Jašinski'],2018.0,1
Quantifying how constraints limit the diversity of viable routes to adaptation,"['S Yeaman', 'AC Gerstein', 'KA Hodgins']",2018.0,1
Quantitative genetics of human brain structure and function,['F Chouinard-Decorte'],2018.0,1
Rethinking phylogenetic comparative methods,"['JC Uyeda', 'R Zenil-Ferguson', 'MW Pennell']",2018.0,1
Scaling genetic programming to challenging reinforcement tasks through emergent modularity,['S Kelly'],2018.0,1
Selection for protein stability enriches for epistatic interactions,"['A Posfai', 'J Zhou', 'JB Plotkin', 'JB Kinney']",2018.0,1
Stationary frequencies and mixing times for neutral drift processes with spatial structure,"['A McAvoy', 'B Adlam', 'B Allen']",2018.0,1
"Tempo, mode, and fitness effects of mutation in Caenorhabditis elegans over 400 generations of minimal selection","['AS Saxena', 'MP Salomon', 'C Matsuba', 'SD Yeh']",2018.0,1
The Emergence and Evolutionary Fate of DIversity Under Soft and Hard Selection,['P Chen'],2018.0,1
The SHAPE of logistic growth shows that timing does matter,['J Dench'],2018.0,1
"The effects of asexuality and selfing on genetic diversity, the efficacy of selection and species persistence",['KHE Ho'],2018.0,1
The shape of the emerging condensate in effective models of condensation,"['V Betz', 'S Dereich', 'P Mörters']",2018.0,1
Universality classes of interaction structures for NK fitness landscapes,"['S Hwang', 'B Schmiegelt', 'L Ferretti', 'J Krug']",2018.0,1
Using geometric morphometric visualizations of directional selection gradients to investigate morphological differentiation,"['TD Weaver', 'P Gunz']",2018.0,1
Viral fitness landscapes: A physical sciences perspective,"['GR Hart', 'AL Ferguson']",2018.0,1
5. Neutral Models of Phenotypic Evolution,['M Lyxch'],2017.0,1
A Computational View on Natural Evolution: On the Rigorous Analysis of the Speed of Adaptation,['J Pérez Heredia'],2017.0,1
A generalization of Kingman's model of selection and mutation and the Lenski experiment,['L Yuan'],2017.0,1
A model with Darwinian dynamics on a rugged landscape,"['T Brotto', 'G Bunin', 'J Kurchan']",2017.0,1
Adaptive evolution of gene expression in Drosophila,"['A Nourmohammad', 'J Rambeau', 'T Held', 'V Kovacova']",2017.0,1
Assessment of genetic variation in wild flora and fauna-A review,"['M Altaf', 'M Altaf', 'M Umair', 'N Muhammad']",2017.0,1
Distributions of Mutational Effects and the Estimation of Directional Selection in Divergent Lineages of Arabidopsis thaliana,"['B Park', 'MT Rutter', 'CB Fenster', 'VV Symonds']",2017.0,1
Dynamic properties in the four-state haploid coupled discrete-time mutation-selection model with an infinite population limit,"['KS Lee', 'W Gill']",2017.0,1
Evidence for evolutionary shifts in the fitness landscape of human complex traits,"['LH Uricchio', 'HC Kitano', 'A Gusev', 'NA Zaitlen']",2017.0,1
Evolution of large populations under the joint action of deleterious and beneficial mutations,['S John'],2017.0,1
Evolution of phenotypic plasticity in extreme environments,"['LM Chevin', 'AA Hoffmann']",2017.0,1
Experimental Evolution with Caenorhabditis Nematodes,"['H Teotónio', 'S Estes', 'PC Phillips', 'CF Baer']",2017.0,1
Genotype-Phenotype Maps in Complex Living Systems,['J Aguilar Rodriguez'],2017.0,1
Genotype-phenotype Maps in Complex Living Systems,['JA Rodriguez'],2017.0,1
Haldane and modern evolutionary genetics,['B Charlesworth'],2017.0,1
How does epistasis influence the response to selection?,['NH Barton'],2017.0,1
How does mutation affect the distribution of phenotypes?,"['K McGuigan', 'E Aw']",2017.0,1
In silico vaccine design for hepatitis C: A computational platform for fighting disease,['GR Hart'],2017.0,1
Inbreeding depression maintained by recessive lethal mutations interacting with stabilizing selection on quantitative characters in a partially self‐fertilizing population,"['R Lande', 'E Porcher']",2017.0,1
Key issues review: evolution on rugged adaptive landscapes,"['U Obolski', 'Y Ram', 'L Hadany']",2017.0,1
Local adaptation interacts with expansion load during range expansion: maladaptation reduces expansion load,"['KJ Gilbert', 'NP Sharp', 'AL Angert']",2017.0,1
Nonextensive condensation in reinforced branching processes,"['S Dereich', 'C Mailler', 'P Mörters']",2017.0,1
On the standardization of fitness and traits in comparative studies of phenotypic selection,"['SP De Lisle', 'EI Svensson']",2017.0,1
Pulsed evolution shaped modern vertebrate body sizes,"['MJ Landis', 'JG Schraiber']",2017.0,1
Rapid adaptation of a polygenic trait after a sudden environmental shift,"['K Jain', 'W Stephan']",2017.0,1
Role of phenotype switching during biological evolution in static environments,['AC Tadrowski'],2017.0,1
Selection limits to adaptive walks on correlated landscapes,"['JP Heredia', 'B Trubenová', 'D Sudholt', 'T Paixão']",2017.0,1
Stochastic evolutionary demography under a fluctuating optimum phenotype,"['LM Chevin', 'O Cotto', 'J Ashander']",2017.0,1
Testing the neutral hypothesis of phenotypic evolution,"['WC Ho', 'Y Ohya', 'J Zhang']",2017.0,1
The influence of natural selection in breeding programs: A simulation study,"['S García-Ballesteros', 'JP Gutiérrez', 'L Varona']",2017.0,1
The role of fluctuating selection in the maintenance of genetic variation in Lobelia inflata,['K Cote'],2017.0,1
What can genome‐wide association studies tell us about the evolutionary forces maintaining genetic variation for quantitative traits?,"['EB Josephs', 'JR Stinchcombe', 'SI Wright']",2017.0,1
With a little help from my friends: cooperation can accelerate the rate of adaptive valley crossing,"['U Obolski', 'O Lewin-Epstein', 'E Even-Tov', 'Y Ram']",2017.0,1
Évolution et Développement d'un organe sériel-la molaire: Transcriptomique comparée des bourgeons de molaire chez les rongeurs,['C Petit'],2017.0,1
A cautionary note on the use of Ornstein Uhlenbeck models in macroevolutionary studies,"['N Cooper', 'GH Thomas', 'C Venditti']",2016.0,1
A statistical approach for testing cross-phenotype effects of rare variants,"['KA Broadaway', 'DJ Cutler', 'R Duncan', 'JL Moore']",2016.0,1
Antibiotic resistance: a physicist's view,"['R Allen', 'B Waclaw']",2016.0,1
Are heritability and selection related to population size in nature? Meta‐analysis and conservation implications,"['JLA Wood', 'MC Yates', 'DJ Fraser']",2016.0,1
Beyond the hypercube: evolutionary accessibility of fitness landscapes with realistic mutational networks,"['M Zagorski', 'Z Burda', 'B Waclaw']",2016.0,1
Bridging inter-and intraspecific trait evolution with a hierarchical Bayesian approach,"['A Kostikova', 'D Silvestro', 'PB Pearman']",2016.0,1
"Brownian motion models, multiple characters, and phylogenies",['J Felsenstein'],2016.0,1
Coalescence with background and balancing selection in systems with bi-and uniparental reproduction: contrasting partial asexuality and selfing,"['AF Agrawal', 'M Hartfield']",2016.0,1
Collective fluctuations in the dynamics of adaptation and other traveling waves,"['O Hallatschek', 'L Geyrhofer']",2016.0,1
Combining geometric morphometrics and finite element analysis with evolutionary modeling: towards a synthesis,"['PD Polly', 'CT Stayton', 'ER Dumont']",2016.0,1
"Concordance between stabilizing sexual selection, intraspecific variation, and interspecific divergence in Phymata","['D Punzalan', 'L Rowe']",2016.0,1
Conservation genetics of an endangered grassland butterfly (Oarisma poweshiek) reveals historically high gene flow despite recent and rapid range loss,"['EV Saarinen', 'PF Reilly', 'JD Austin']",2016.0,1
Discrimination of domination mode and chaotic mode in species,['S Adachi'],2016.0,1
Dynamic Properties of Condensing Particle Systems,['T Rafferty'],2016.0,1
Eco-evolutionary dynamics,['AP Hendry'],2016.0,1
Effect of host species on topography of the fitness landscape for a plant RNA virus,"['H Cervera', 'J Lalić', 'SF Elena']",2016.0,1
Estimating the effect of competition on trait evolution using maximum likelihood inference,"['J Drury', 'J Clavel', 'M Manceau', 'H Morlon']",2016.0,1
Estimators for QST and coalescence times,['TD Weaver'],2016.0,1
Gene networks accelerate evolution by fitness landscape learning,"['J Reinitz', 'S Vakulenko', 'D Grigoriev']",2016.0,1
"Genetic networks, adaptation, & the evolution of genomic islands of divergence",['TD Hether'],2016.0,1
Greedy adaptive walks on a correlated fitness landscape,"['SC Park', 'J Neidhart', 'J Krug']",2016.0,1
Localisation in the Bouchaud–Anderson model,"['S Muirhead', 'R Pymar']",2016.0,1
Measuring epistasis in fitness landscapes: The correlation of fitness effects of mutations,"['L Ferretti', 'B Schmiegelt', 'D Weinreich']",2016.0,1
Modeling tumor clonal evolution for drug combinations design,"['B Zhao', 'MT Hemann', 'DA Lauffenburger']",2016.0,1
"Modularity: genes, development, and evolution","['D Melo', 'A Porto', 'JM Cheverud']",2016.0,1
"Molecular evolution of opsins, a gene responsible for sensing light, in scallops (Bivalvia: Pectinidae)",['AJ Porath-Krause'],2016.0,1
"Mutation, eugenics, and the boundaries of science",['M Lynch'],2016.0,1
"Nonlinear selection and a blend of convergent, divergent and parallel evolution shapes natural variation in glucosinolates","['DJ Kliebenstein', 'NI Cacho']",2016.0,1
On the (un) predictability of a large intragenic fitness landscape,"['C Bank', 'S Matuszewski', 'RT Hietpas']",2016.0,1
On the (un-) predictability of a large intragenic fitness landscape [preprint],"['C Bank', 'S Matuszewski', 'RT Hietpas', 'JD Jensen']",2016.0,1
Optimum selection and OU processes,['J Felsenstein'],2016.0,1
Population aging through survival of the fit and stable,"['T Brotto', 'G Bunin', 'J Kurchan']",2016.0,1
Population perspectives on functional genomic variation in yeast,"['DA Skelly', 'PM Magwene']",2016.0,1
Predicting evolutionary rescue via evolving plasticity in stochastic environments,"['J Ashander', 'LM Chevin']",2016.0,1
Preferential attachment with fitness: unfolding the condensate,['S Dereich'],2016.0,1
Quantitative genetic architecture at latitudinal range boundaries: reduced variation but higher trait independence,"['A Paccard', 'J Van Buskirk', 'Y Willi']",2016.0,1
"Random genetic drift, natural selection, and noise in human cranial evolution",['CC Roseman'],2016.0,1
Sign Epistatis Networks,['B Schmiegelt'],2016.0,1
Signatures of positive selection: from selective sweeps at individual loci to subtle allele frequency changes in polygenic adaptation,['W Stephan'],2016.0,1
The effect of intraspecific variation and heritability on community pattern and robustness,"['G Barabás', ""R D'Andrea""]",2016.0,1
The extended phenotype: The long reach of the gene,['R Dawkins'],2016.0,1
The infinitesimal model,"['NH Barton', 'AM Etheridge', 'A Véber']",2016.0,1
The number of accessible paths in the hypercube,"['J Berestycki', 'É Brunet', 'Z Shi']",2016.0,1
Understanding local adaptation and effective population size in the face of complex demographic history,['KJ Gilbert'],2016.0,1
Understanding the coevolutionary dynamics of mutualism with population genomics,['JB Yoder'],2016.0,1
With a little help from my friends: Cooperation can accelerate crossing of adaptive valleys,"['U Obolski', 'O Lewin-Epstein', 'E Even-Tov', 'Y Ram']",2016.0,1
A coarse-grained biophysical model of sequence evolution and the population size dependence of the speciation rate,"['BS Khatri', 'RA Goldstein']",2015.0,1
Accessibility percolation and first-passage percolation on the hypercube,['A Martinsson'],2015.0,1
Accessibility percolation and first-passage site percolation on the unoriented binary hypercube,['A Martinsson'],2015.0,1
Allelic diversity for neutral markers retains a higher adaptive potential for quantitative traits than expected heterozygosity,"['A Vilas', 'A Pérez‐Figueroa', 'H Quesada']",2015.0,1
Analysis of adaptive walks on NK fitness landscapes with different interaction schemes,"['S Nowak', 'J Krug']",2015.0,1
Are molecular markers useful predictors of adaptive potential?,"['EA Mittell', 'S Nakagawa', 'JD Hadfield']",2015.0,1
Assessing the alignment of sexual and natural selection using radiomutagenized seed beetles,"['DJ Power', 'L Holman']",2015.0,1
Bayesian species delimitation combining multiple genes and traits in a unified framework,"['C Solís‐Lemus', 'LL Knowles', 'C Ané']",2015.0,1
Complex and changing patterns of natural selection explain the evolution of the human hip,"['M Grabowski', 'CC Roseman']",2015.0,1
Detecting adaptive evolution in phylogenetic comparative analysis using the Ornstein–Uhlenbeck model,"['CE Cressler', 'MA Butler', 'AA King']",2015.0,1
"Divergent selection along climatic gradients in a rare central European endemic species, Saxifraga sponhemica","['TJ Walisch', 'G Colling', 'M Bodenseh']",2015.0,1
Ecological statistics: contemporary theory and application,"['GA Fox', 'S Negrete-Yankelevich', 'VJ Sosa']",2015.0,1
Epistasis and constraints in fitness landscapes,"['L Ferretti', 'D Weinreich', 'B Schmiegelt']",2015.0,1
Estudio de las diferencias genéticas entre poblaciones de Drosophila melanogaster para un carácter cuantitativo,['MC Salgado Morales'],2015.0,1
Evolution as a largely autonomous process,['F Bokma'],2015.0,1
Evolutionary history of a dispersal‐associated locus across sympatric and allopatric divergent populations of a wing‐polymorphic beetle across A tlantic E urope,"['SM Van Belleghem', 'D Roelofs']",2015.0,1
Fitness landscapes and evolutionary accessibility: The effect of downhill steps,['LAC Deecke'],2015.0,1
Local adaptation by alleles of small effect,['S Yeaman'],2015.0,1
Magellan: a tool to explore small fitness landscapes,"['S Brouillet', 'H Annoni', 'L Ferretti', 'G Achaz']",2015.0,1
Measurement errors should always be incorporated in phylogenetic comparative analysis,"['D Silvestro', 'A Kostikova', 'G Litsios']",2015.0,1
Natural genetic variation in Arabidopsis thaliana defense metabolism genes modulates field fitness,"['R Kerwin', 'J Feusier', 'J Corwin', 'M Rubin', 'C Lin', 'A Muok']",2015.0,1
"Offspring Provisioning Explains Clone-Specific Maternal Age Effects on Life History and Life Span in the Water Flea, Daphnia pulex","['SJ Plaistow', 'C Shirley', 'H Collin']",2015.0,1
"Organisms, agency, and evolution",['DM Walsh'],2015.0,1
Pervasive adaptation of gene expression in Drosophila,"['A Nourmohammad', 'J Rambeau', 'T Held', 'J Berg']",2015.0,1
Phylogenetic niche conservatism–common pitfalls and ways forward,"['T Münkemüller', 'FC Boucher', 'W Thuiller']",2015.0,1
Predicting rates of interspecific interaction from phylogenetic trees,"['SL Nuismer', 'LJ Harmon']",2015.0,1
Properties of random fitness landscapes and their influence on evolutionary dynamics. A journey through the hypercube,['S Nowak'],2015.0,1
Quasispecies on fitness landscapes,['P Schuster'],2015.0,1
Sensitivity of quantitative traits to mutational effects and number of loci,"['JG Schraiber', 'MJ Landis']",2015.0,1
"So Far Away, Yet So Close: Strong Genetic Structure in Homonota uruguayensis (Squamata, Phyllodactylidae), a Species with Restricted Geographic …","['JF Felappi', 'RC Vieira', 'NJR Fagundes', 'LV Verrastro']",2015.0,1
Statistical methods to infer population structure with coalescence and gene flow,['CRS Lemus'],2015.0,1
The concept of fitness in fluctuating environments,"['BE Sæther', 'S Engen']",2015.0,1
"The ecology, genetics and evolution of two Saxifraga species with different fragmentation histories",['T Walisch'],2015.0,1
The genetic architecture of quantitative traits in locally adapted plant ecotypes,['ER Milano'],2015.0,1
The impact of macroscopic epistasis on long-term evolutionary dynamics,"['BH Good', 'MM Desai']",2015.0,1
The red death meets the abdominal bristle: Polygenic mutation for susceptibility to a bacterial pathogen in Caenorhabditis elegans,"['V Etienne', 'EC Andersen', 'JM Ponciano', 'D Blanton']",2015.0,1
Unconstrained cranial evolution in Neandertals and modern humans compared to common chimpanzees,"['TD Weaver', 'CB Stringer']",2015.0,1
When to rely on maternal effects and when on phenotypic plasticity?,"['B Kuijper', 'RB Hoyle']",2015.0,1
Why greatness cannot be planned: The myth of the objective,"['KO Stanley', 'J Lehman']",2015.0,1
mvmorph: an r package for fitting multivariate evolutionary models to morphometric data,"['J Clavel', 'G Escarguel']",2015.0,1
A Classical Genetic Solution to Enhance the Biosynthesis of Anticancer Phytochemicals in Andrographis paniculata Nees,"['A Valdiani', 'D Talei', 'SG Tan', 'M Abdul Kadir', 'M Maziah']",2014.0,1
A novel Bayesian method for inferring and interpreting the dynamics of adaptive landscapes from phylogenetic comparative data,"['JC Uyeda', 'LJ Harmon']",2014.0,1
A simple mathematical model of gradual Darwinian evolution: emergence of a Gaussian trait distribution in adaptation along a fitness gradient,['VN Biktashev'],2014.0,1
Accessibility percolation with backsteps,"['J Berestycki', 'É Brunet', 'Z Shi']",2014.0,1
Adaptation in tunably rugged fitness landscapes: the rough Mount Fuji model,"['J Neidhart', 'IG Szendro', 'J Krug']",2014.0,1
Adaptation of a cyanobacterium to a biochemically rich environment in experimental evolution as an initial step toward a chloroplast-like state,"['K Hosoda', 'M Habuchi', 'S Suzuki', 'M Miyazaki']",2014.0,1
"Applications of population genetics to animal breeding, from Wright, Fisher and Lush to genomic prediction",['WG Hill'],2014.0,1
Biophysics and stochastic processes in molecular evolution,['M Manhart'],2014.0,1
Brief Communication: Quantitative‐and molecular‐genetic differentiation in humans and chimpanzees: Implications for the evolutionary processes underlying cranial …,['TD Weaver'],2014.0,1
"Climate change, adaptation, and phenotypic plasticity: the problem and the evidence","['J Merilä', 'AP Hendry']",2014.0,1
Condensation and topological phase transitions in a dynamical network model with rewiring of the links,"['L Ferretti', 'M Mamino', 'G Bianconi']",2014.0,1
Description of genetic diversity of natural populations of barbatimão stryphnodendron adstringens (mart.) coville in conservation areas from Minas Gerais,"['JS Glasenapp', 'VWD Casali', 'ER Martins', 'CD Cruz']",2014.0,1
Descrição da diversidade genética de populações naturais de barbatimão Stryphnodendron adstringens (Mart.) Coville em unidades de conservação de …,"['JS Glasenapp', 'VWD Casali', 'ER Martins', 'CD Cruz']",2014.0,1
Empirical fitness landscapes and the predictability of evolution,"['JAG De Visser', 'J Krug']",2014.0,1
Evolutionary accessibility of modular fitness landscapes,"['B Schmiegelt', 'J Krug']",2014.0,1
Fast Evolution from Precast Bricks: Genomics of Young Freshwater Populations of Threespine Stickleback Gasterosteus aculeatus,"['NV Terekhanova', 'MD Logacheva', 'AA Penin']",2014.0,1
"Fitness Landscapes, Adaptation and Sex on the Hypercube",['J Neidhart'],2014.0,1
Fitness landscapes: From evolutionary biology to evolutionary computation,['H Richter'],2014.0,1
Genetic influences on adolescent sexual behavior: Why genes matter for environmentally oriented researchers.,['KP Harden'],2014.0,1
Genomic and behavioral aspects of recurrent ecotypic divergence in the wing polymorphic beetle Pogonus chalceus,['S Van Belleghem'],2014.0,1
Hitchhiking of deleterious alleles and the cost of adaptation in partially selfing species,"['M Hartfield', 'S Glémin']",2014.0,1
Increasing paths on N-ary trees,['X Chen'],2014.0,1
Induced genetic variability for quantitative traits and identification of male sterile lines in soybean [Glycine max (L.) Merrill,['GC Shekar'],2014.0,1
Inferring fitness landscapes by regression produces biased estimates of epistasis,"['J Otwinowski', 'JB Plotkin']",2014.0,1
Modeling evolution using the probability of fixation: history and implications,"['DM McCandlish', 'A Stoltzfus']",2014.0,1
Modeling gene expression evolution with an extended Ornstein–Uhlenbeck process accounting for within-species variation,"['RV Rohlfs', 'P Harrigan', 'R Nielsen']",2014.0,1
Modeling mutant distribution in a stressed Escherichia coli bacteria population using experimental data,"['A Bazzani', 'R Fani', 'P Freguglia']",2014.0,1
Multidimensional epistasis and the transitory advantage of sex,"['S Nowak', 'J Neidhart', 'IG Szendro']",2014.0,1
Natural variation in genome architecture among 205 Drosophila melanogaster Genetic Reference Panel lines,"['W Huang', 'A Massouras', 'Y Inoue', 'J Peiffer']",2014.0,1
On the existence of accessible paths in various models of fitness landscapes,"['P Hegarty', 'A Martinsson']",2014.0,1
On the importance of balancing selection in plants,"['LF Delph', 'JK Kelly']",2014.0,1
Optimizing the creation of base populations for aquaculture breeding programs using phenotypic and genomic data and its consequences on genetic …,"['J Fernández', 'MÁ Toro', 'AK Sonesson']",2014.0,1
"Polytopes, graphs and fitness landscapes",['K Crona'],2014.0,1
Properties of selected mutations and genotypic landscapes under Fisher's geometric model,"['F Blanquart', 'G Achaz', 'T Bataillon', 'O Tenaillon']",2014.0,1
Quantitative Trait Evolution with Arbitrary Mutational Models,"['JG Schraiber', 'MJ Landis']",2014.0,1
Scaling properties of evolutionary paths in a biophysical model of protein adaptation,"['M Manhart', 'AV Morozov']",2014.0,1
"Sensitivity of quantitative traits to mutational effects, number of loci, and population history","['JG Schraiber', 'MJ Landis']",2014.0,1
Sex as Gibbs Sampling: a probability model of evolution,"['C Watkins', 'Y Buttkewitz']",2014.0,1
"Sexual dimorphism in the cephalothorax of freshwater crabs of genus Aegla Leach from Chile (Decapoda, Anomura, Aeglidae): an interspecific approach based on …","['EM Barría', 'S Santos', 'CG Jara', 'CJ Butler']",2014.0,1
Sexual selection can remove an experimentally induced mutation load,"['M Almbro', 'LW Simmons']",2014.0,1
Sexual species are separated by larger genetic gaps than asexual species in rotifers,"['CQ Tang', 'U Obertegger', 'D Fontaneto']",2014.0,1
Small and ugly? Phylogenetic analyses of the “selfing syndrome” reveal complex evolutionary fates of monomorphic primrose flowers,"['JM De Vos', 'RO Wüest', 'E Conti']",2014.0,1
Solving the paradox of stasis: squashed stabilizing selection and the limits of detection,"['BC Haller', 'AP Hendry']",2014.0,1
Statistical physics of evolutionary trajectories on fitness landscapes,"['M Manhart', 'AV Morozov']",2014.0,1
Surface layer proteins as virulence factors in Clostridiun difficile infection,['M Lynch'],2014.0,1
Testing the aerobic model for the evolution of endothermy: implications of using present correlations to infer past evolution,"['RF Nespolo', 'DA Roff']",2014.0,1
Testing the ecological consequences of evolutionary change using elements,"['PD Jeyasingh', 'RD Cothran', 'M Tobler']",2014.0,1
The Effect of Population History on Hominoid Intraspecific Cranial Shape Diversity: Combining Population Genetic and 3D Geometric Morphometric Data,['JM Zichello'],2014.0,1
"The action of stabilizing selection, mutation, and drift on epistatic quantitative traits","['V Avila', 'A Pérez‐Figueroa', 'A Caballero', 'WG Hill']",2014.0,1
The inevitability of unconditionally deleterious substitutions during adaptation,"['DM McCandlish', 'CL Epstein', 'JB Plotkin']",2014.0,1
The influence of genetic drift and selection on quantitative traits in a plant pathogenic fungus,"['TS Stefansson', 'BA McDonald', 'Y Willi']",2014.0,1
The microevolution of modern human cranial variation: implications for hominin and primate evolution,['N von Cramon-Taubadel'],2014.0,1
The utility of Fisher's geometric model in evolutionary genetics,['O Tenaillon'],2014.0,1
A mandible arresting system in neotropical social wasps (Vespidae; Polistinae): structural diversity within homogeneous functionality,"['S López-Cubillos', 'CE Sarmiento']",2013.0,1
Accessibility percolation on n-trees,"['S Nowak', 'J Krug']",2013.0,1
Allelic diversity and its implications for the rate of adaptation,"['A Caballero', 'A García-Dorado']",2013.0,1
An adaptive radiation of frogs in a Southeast Asian island archipelago,"['DC Blackburn', 'CD Siler', 'AC Diesmos', 'JA McGuire']",2013.0,1
Antibiotic resistance landscapes: a quantification of theory-data incompatibility for fitness landscapes,"['K Crona', 'D Patterson', 'K Stack', 'D Greene']",2013.0,1
Are there species smaller than 1 mm?,"['AG Rossberg', 'T Rogers']",2013.0,1
Biometrical genetics: The study of continuous variation,"['K Mather', 'JL Jinks']",2013.0,1
Branching random walks with selection,['X Chen'],2013.0,1
CORRELATION BETWEEN ANOLIS LIZARD DEWLAP PHENOTYPE AND ENVIRONMENTAL VARIATION INDICATES ADAPTIVE DIVERGENCE OF A SIGNAL …,"['J Ng', 'EL Landeen', 'RM Logsdon']",2013.0,1
Cancer as a dysregulated epigenome allowing cellular growth advantage at the expense of the host,"['W Timp', 'AP Feinberg']",2013.0,1
Cave life,['DC Culver'],2013.0,1
Coevolution and the architecture of mutualistic networks,"['SL Nuismer', 'P Jordano']",2013.0,1
Comparative animal biochemistry,['K Urich'],2013.0,1
Comparing evolutionary rates for different phenotypic traits on a phylogeny using likelihood,['DC Adams'],2013.0,1
"Competition and evolution along environmental gradients: patterns, boundaries and sympatric divergence","['G García-Ramos', 'Y Huang']",2013.0,1
"Differential behavioral ecology: The structure, life history, and evolution of primate personality","['A Weiss', 'MJ Adams']",2013.0,1
Drosophila Melanogaster İzosoylarında Besin Kısıtlamasının Gelişim Süresi ve Yumurta Veriminin Eklemeli Genetik Varyanslarına Etkilerinin Araştırılması,['N Ayhan'],2013.0,1
Efficiency of conservation management methods for subdivided populations under local adaptation,"['E Sánchez-Molano', 'A Caballero']",2013.0,1
Emergence of clones in sexual populations,"['RA Neher', 'M Vucelja', 'M Mezard']",2013.0,1
Emergence of condensation in Kingman's model of selection and mutation,"['S Dereich', 'P Mörters']",2013.0,1
Epistasis and robustness to new mutations in the budding yeast  Saccharomyces cerevisiae,['J Richardson'],2013.0,1
Evaluating rare variants in complex disorders using next-generation sequencing,"['M Ezewudo', 'ME Zwick']",2013.0,1
Evolution of behavioural phenotypes: influences of ancestry and expression,['SA Foster'],2013.0,1
Evolution of molecular phenotypes under stabilizing selection,"['A Nourmohammad', 'S Schiffels']",2013.0,1
Exact results for amplitude spectra of fitness landscapes,"['J Neidhart', 'IG Szendro', 'J Krug']",2013.0,1
"Functional genomics of a model ecological species, Daphnia pulex",['JW Malcom'],2013.0,1
Genetic constraints on adaptation to a changing environment,['LM Chevin'],2013.0,1
Genomic Background and Generation Time Influence Deleterious Mutation Rates in Daphnia,"['LC Latta IV', 'KK Morgan', 'CS Weaver', 'D Allen']",2013.0,1
Genomic rearrangements and the evolution of clusters of locally adaptive loci,['S Yeaman'],2013.0,1
"Heritability and fitness correlates of personality in the Ache, a natural-fertility population in Paraguay","['DH Bailey', 'RS Walker', 'GE Blomquist', 'KR Hill']",2013.0,1
"Histone variant HTZ1 shows extensive epistasis with, but does not increase robustness to, new mutations","['JB Richardson', 'LD Uppendahl', 'MK Traficante']",2013.0,1
How competition affects evolutionary rescue,"['MM Osmond', 'C de Mazancourt']",2013.0,1
How does climate influence speciation?,"['X Hua', 'JJ Wiens']",2013.0,1
Increasing paths in regular trees,"['M Roberts', 'L Zhao']",2013.0,1
Increasing paths in trees,"['MI Roberts', 'LZ Zhao']",2013.0,1
Istilacı Bir Drosophilid Türü Olan Zaprionus Tuberculatusun Doğal Popülasyonlarında Nörosensör Kılların Dar-Anlamlı Kalıtsallığının Gösterilmesi,['Ö Sezer'],2013.0,1
