title,author,pub_year,counts
Thermal constraints of energy assimilation on geographical ranges among lungless salamanders of North America,"['TA Clay', 'ME Gifford']",2018.0,1
Trophic specialization drives morphological evolution in sea snakes,"['E Sherratt', 'AR Rasmussen']",2018.0,1
Universality in the Evolution of Molecular Phenotypes,['T Held'],2018.0,1
Use of continuous traits can improve morphological phylogenetics,['C Parins-Fukuchi'],2018.0,1
Using geometric morphometric visualizations of directional selection gradients to investigate morphological differentiation,"['TD Weaver', 'P Gunz']",2018.0,1
Venom gland size and venom complexity—essential trophic adaptations of venomous predators: a case study using spiders,"['S Pekár', 'O Bočánek', 'O Michálek', 'L Petráková']",2018.0,1
Venom of prey‐specialized spiders is more toxic to their preferred prey: A result of prey‐specific toxins,"['S Pekár', 'E Líznarová', 'O Bočánek']",2018.0,1
Геометрическая морфометрия: от теории к практике,"['АГ Васильев', 'ИА Васильева', 'АО Шкурихин']",2018.0,1
4. Population Structure and Local Adaptation in a Clonal Herbivore,['S Via'],2017.0,1
5. Neutral Models of Phenotypic Evolution,['M Lyxch'],2017.0,1
A Wide Brownian Land: Drought Adaptation and Niche Diversification in an Australian Conifer,['MJ Cosgrove'],2017.0,1
A bifurcation theorem for evolutionary matrix models with multiple traits,"['JM Cushing', 'F Martins', 'AA Pinto']",2017.0,1
"A model of compound heterozygous, loss-of-function alleles is broadly consistent with observations from complex-disease GWAS datasets","['JS Sanjak', 'AD Long', 'KR Thornton']",2017.0,1
A phase transition induces chaos in a predator-prey ecosystem with a dynamic fitness landscape,"['W Gilpin', 'MW Feldman']",2017.0,1
A phylogenetic approach to conservation prioritization for Europe's bumblebees (Hymenoptera: Apidae: Bombus),['NJ Vereecken'],2017.0,1
A relaxed directional random walk model for phylogenetic trait evolution,"['MS Gill', 'LS Tung Ho', 'G Baele', 'P Lemey']",2017.0,1
A unifying comparative phylogenetic framework including traits coevolving across interacting lineages,"['M Manceau', 'A Lambert', 'H Morlon']",2017.0,1
Accelerated body size evolution during cold climatic periods in the Cenozoic,"['J Clavel', 'H Morlon']",2017.0,1
Adaptive evolution of gene expression in Drosophila,"['A Nourmohammad', 'J Rambeau', 'T Held', 'V Kovacova']",2017.0,1
Age-related sex differences in body condition and telomere dynamics of red-sided garter snakes,"['N Rollings', 'EJ Uhrig', 'RW Krohmer']",2017.0,1
An appraisal of the enzyme stability‐activity trade‐off,['SR Miller'],2017.0,1
An evolutionary tipping point in a changing environment,"['MM Osmond', 'CA Klausmeier']",2017.0,1
Analyzing the shape of observed trait distributions enables a data‐based moment closure of aggregate models,"['U Gaedke', 'T Klauschies']",2017.0,1
Approaches to macroevolution: 1. General concepts and origin of variation,['D Jablonski'],2017.0,1
Assessment of genetic variation in wild flora and fauna-A review,"['M Altaf', 'M Altaf', 'M Umair', 'N Muhammad']",2017.0,1
Back to basics: using colour polymorphisms to study evolutionary processes,['EI Svensson'],2017.0,1
Bioclimatic niches are conserved and unrelated to pollination syndromes in Antillean Gesneriaceae,"['H Alexandre', 'J Faure', 'S Ginzbarg']",2017.0,1
Brain enlargement and dental reduction were not linked in hominin evolution,"['A Gómez-Robles', 'JB Smaers']",2017.0,1
Can evolution supply what ecology demands?,"['H Kokko', 'A Chaturvedi', 'D Croll', 'MC Fischer']",2017.0,1
Changing mutational and adaptive landscapes and the genesis of cancer,"['LA Liggett', 'J DeGregori']",2017.0,1
Climatic niche evolution is faster in sympatric than allopatric lineages of the butterfly genus Pyrgus,"['C Pitteloud', 'N Arrigo', 'T Suchan']",2017.0,1
Commentary: Fisher's infinitesimal model: A story for the ages,['M Turelli'],2017.0,1
"Demography, Selection and Evolution in Conifers",['R Ruiz Daniels'],2017.0,1
Distributions of Mutational Effects and the Estimation of Directional Selection in Divergent Lineages of Arabidopsis thaliana,"['B Park', 'MT Rutter', 'CB Fenster', 'VV Symonds']",2017.0,1
Effect of migration and environmental heterogeneity on the maintenance of quantitative variation: a simulation study,"['TK McDonald', 'S Yeaman']",2017.0,1
Evidence of a chimpanzee-sized ancestor of humans but a gibbon-sized ancestor of apes,"['M Grabowski', 'WL Jungers']",2017.0,1
Evolution of phenotypic plasticity in extreme environments,"['LM Chevin', 'AA Hoffmann']",2017.0,1
Evolution of stochastic demography with life history tradeoffs in density-dependent age-structured populations,"['R Lande', 'S Engen', 'BE Sæther']",2017.0,1
"Evolutionary Community Ecology, Volume 58",['MA McPeek'],2017.0,1
Evolutionary allometry reveals a shift in selection pressure on male horn size,"['M Tidière', 'JF Lemaître', 'C Pélabon']",2017.0,1
Evolutionary ecology and human behavior,['EA Smith'],2017.0,1
Experimental Evolution with Caenorhabditis Nematodes,"['H Teotónio', 'S Estes', 'PC Phillips', 'CF Baer']",2017.0,1
Four pillars of statisticalism,"['DM Walsh', 'A Ariew', 'M Matthen']",2017.0,1
Gene regulation and speciation,"['KL Mack', 'MW Nachman']",2017.0,1
Gorillas in our midst? Human sexual dimorphism and contest competition in men,"['AK Hill', 'DH Bailey', 'DA Puts']",2017.0,1
Haldane and modern evolutionary genetics,['B Charlesworth'],2017.0,1
Haplotype selection as an adaptive mechanism in the protozoan pathogen Leishmania donovani,"['PP Barja', 'P Pescher', 'G Bussotti', 'F Dumetz']",2017.0,1
Hormonally mediated increases in sex-biased gene expression accompany the breakdown of between-sex genetic correlations in a sexually dimorphic lizard,"['RM Cox', 'CL Cox', 'JW McGlothlin']",2017.0,1
Inbreeding depression maintained by recessive lethal mutations interacting with stabilizing selection on quantitative characters in a partially self‐fertilizing population,"['R Lande', 'E Porcher']",2017.0,1
Increased pollination specialization did not increase corolla shape constraints in Antillean plants,"['S Joly', 'F Lambert', 'H Alexandre', 'J Clavel']",2017.0,1
Infanticide: comparative and evolutionary perspectives,"['G Hausfater', 'SB Hrdy']",2017.0,1
Inferring individual-level processes from population-level patterns in cultural evolution,"['A Kandler', 'B Wilder', 'L Fortunato']",2017.0,1
Intense natural selection preceded the invasion of new adaptive zones during the radiation of New World leaf-nosed bats,"['DM Rossoni', 'APA Assis', 'NP Giannini', 'G Marroig']",2017.0,1
"Island Rule, quantitative genetics and brain–body size evolution in Homo floresiensis","['JAF Diniz-Filho', 'P Raia']",2017.0,1
Local adaptation interacts with expansion load during range expansion: maladaptation reduces expansion load,"['KJ Gilbert', 'NP Sharp', 'AL Angert']",2017.0,1
"Male mate choice, male quality, and the potential for sexual selection on female traits under polygyny","['CL Fitzpatrick', 'MR Servedio']",2017.0,1
Manipulation of feeding regime alters sexual dimorphism for lifespan and reduces sexual conflict in Drosophila melanogaster,"['EML Duxbury', 'WG Rostant']",2017.0,1
Micro-and macroevolutionary aspects of body size diversification and thermal adaptation in insects,['J Waller'],2017.0,1
Microhabitat and climatic niche change explain patterns of diversification among frog families,"['DS Moen', 'JJ Wiens']",2017.0,1
Modeling adaptive and nonadaptive responses of populations to environmental change,"['T Coulson', 'BE Kendall', 'J Barthold']",2017.0,1
Modeling trait evolutionary processes with more than one gene,['H Jiang'],2017.0,1
Modes of rapid polygenic adaptation,"['K Jain', 'W Stephan']",2017.0,1
Modèles de processus stochastiques avec sauts sur arbres: application à l'évolution adaptative sur des phylogénies.,['P Bastide'],2017.0,1
More on the best evolutionary rate for phylogenetic analysis,"['S Klopfstein', 'T Massingham', 'N Goldman']",2017.0,1
Multivariate genetic architecture of the Anolis dewlap reveals both shared and sex‐specific features of a sexually dimorphic ornament,"['RM Cox', 'RA Costello', 'BE Camber']",2017.0,1
Partitioning of resources: the evolutionary genetics of sexual conflict over resource acquisition and allocation,"['F Zajitschek', 'T Connallon']",2017.0,1
Production of plumage ornaments among males and females of two closely related tropical passerine bird species,"['ED Enbody', 'SM Lantz', 'J Karubian']",2017.0,1
Punctuated evolution shaped modern vertebrate diversity,"['MJ Landis', 'JG Schraiber']",2017.0,1
Rapid adaptation of a polygenic trait after a sudden environmental shift,"['K Jain', 'W Stephan']",2017.0,1
Rapid adaptive phenotypic change following colonization of a newly restored habitat,"['CLC Sætre', 'C Coleiro', 'M Austad', 'M Gauci']",2017.0,1
Rapid differentiation and asynchronous coevolution of male and female genitalia in stink bugs,"['BC Genevcius', 'DS Caetano']",2017.0,1
Reversal of response to artificial selection on body size in a wild passerine,"['T Kvalnes', 'TH Ringsby', 'H Jensen', 'IJ Hagen']",2017.0,1
Selection maintains signaling function of a highly diverged intrinsically disordered region,"['T Zarin', 'CN Tsai', 'ANN Ba']",2017.0,1
Selection on skewed characters and the paradox of stasis,"['S Bonamour', 'C Teplitsky', 'A Charmantier']",2017.0,1
"Sex differences in immune responses: Hormonal effects, antagonistic selection, and evolutionary consequences","['J Roved', 'H Westerdahl', 'D Hasselquist']",2017.0,1
Sex-dependent expression of behavioural genetic architectures and the evolution of sexual dimorphism,"['CS Han', 'NJ Dingemanse']",2017.0,1
Sexual competition among women: A review of the theory and supporting evidence,"['S Arnocky', 'T Vaillancourt']",2017.0,1
Sexual homomorphism in dioecious trees: extensive tests fail to detect sexual dimorphism in Populus,"['AD McKown', 'J Klápště', 'RD Guy']",2017.0,1
Sex‐specific selection under environmental stress in seed beetles,"['I Martinossi‐Allibert', 'G Arnqvist']",2017.0,1
Shifted stochastic processes evolving on trees: application to models of adaptive evolution on phylogenies.,['P Bastide'],2017.0,1
Supplementary Information: Punctuated evolution shaped modern vertebrate diversity,"['MJ Landis', 'JG Schraiber']",2017.0,1
Tempo and mode of performance evolution across multiple independent origins of adhesive toe pads in lizards,"['TJ Hagey', 'JC Uyeda', 'KE Crandell', 'JA Cheney']",2017.0,1
The Evolution of Defensive Strategies in Cobras,['B Jones'],2017.0,1
The Relative Contributions of the X Chromosome and Autosomes to Local Adaptation,"['C Lasne', 'CM Sgrò', 'T Connallon']",2017.0,1
The ecological dynamics of natural selection: traits and the coevolution of community structure,['MA McPeek'],2017.0,1
The ecology of a continental evolutionary radiation: Is the radiation of sigmodontine rodents adaptive?,"['R Maestri', 'LR Monteiro', 'R Fornel', 'NS Upham']",2017.0,1
The effects of predator evolution and genetic variation on predator–prey population-level dynamics,"['MH Cortez', 'S Patel']",2017.0,1
"The effects of stress and sex on selection, genetic covariance, and the evolutionary response","['L Holman', 'F Jacomb']",2017.0,1
The evolution of beauty: How Darwin's forgotten theory of mate choice shapes the animal world-and us,['RO Prum'],2017.0,1
The first human settlement of the New World: A closer look at craniofacial variation and evolution of early and late Holocene Native American groups,"['S de Azevedo', 'M Quinto-Sánchez', 'C Paschetta']",2017.0,1
The genetic architecture of local adaptation and reproductive isolation in sympatry within the Mimulus guttatus species complex,"['KG Ferris', 'LL Barnett', 'BK Blackman']",2017.0,1
The geography of ecological niche evolution in mammals,"['F Mazel', 'RO Wüest', 'M Gueguen', 'J Renaud']",2017.0,1
The influence of natural selection in breeding programs: A simulation study,"['S García-Ballesteros', 'JP Gutiérrez', 'L Varona']",2017.0,1
The origins and nature of sociality,['RW Sussman'],2017.0,1
The puzzle of partial migration: adaptive dynamics and evolutionary game theory perspectives,"['P De Leenheer', 'A Mohapatra', 'HA Ohms']",2017.0,1
The relative contribution of drift and selection to phenotypic divergence: A test case using the horseshoe bats Rhinolophus simulator and Rhinolophus swinnyi,"['GL Mutumi', 'DS Jacobs', 'H Winker']",2017.0,1
The role of fluctuating selection in the maintenance of genetic variation in Lobelia inflata,['K Cote'],2017.0,1
The role of sexual and natural selection in shaping patterns of sexual dichromatism in the largest family of songbirds (Aves: Thraupidae),"['AJ Shultz', 'KJ Burns']",2017.0,1
The transcriptional architecture of phenotypic dimorphism,['JE Mank'],2017.0,1
Undetected Allee effects in Australia's threatened birds: implications for conservation,"['R Crates', 'L Rayner', 'D Stojanovic', 'M Webb']",2017.0,1
What can genome‐wide association studies tell us about the evolutionary forces maintaining genetic variation for quantitative traits?,"['EB Josephs', 'JR Stinchcombe', 'SI Wright']",2017.0,1
When predators help prey adapt and persist in a changing environment,"['MM Osmond', 'SP Otto']",2017.0,1
Évolution des syndromes de pollinisation et des niches bioclimatiques au sein des genres antillais gesneria et rhytidophyllum (gesneriaceae),['H Alexandre'],2017.0,1
Évolution et Développement d'un organe sériel-la molaire: Transcriptomique comparée des bourgeons de molaire chez les rongeurs,['C Petit'],2017.0,1
"“The Theory was Beautiful Indeed”: Rise, Fall and Circulation of Maximizing Methods in Population Genetics (1930–1980)",['JB Grodwohl'],2017.0,1
A Phylogenetic Analysis of Shape Covariance Structure in the Anthropoid Skull,"['G Garcia', 'FB de Oliveira', 'G Marroig']",2016.0,1
A cautionary note on the use of Ornstein Uhlenbeck models in macroevolutionary studies,"['N Cooper', 'GH Thomas', 'C Venditti']",2016.0,1
A global bifurcation theorem for Darwinian matrix models,"['EP Meissen', 'KR Salau', 'JM Cushing']",2016.0,1
"A revised and dated phylogeny of cobweb spiders (Araneae, Araneoidea, Theridiidae): a predatory Cretaceous lineage diversifying in the era of the ants …","['J Liu', 'LJ May-Collado', 'S Pekár', 'I Agnarsson']",2016.0,1
A statistical approach for testing cross-phenotype effects of rare variants,"['KA Broadaway', 'DJ Cutler', 'R Duncan', 'JL Moore']",2016.0,1
A transmission-virulence evolutionary trade-off explains attenuation of HIV-1 in Uganda,"['F Blanquart', 'MK Grabowski', 'J Herbeck', 'F Nalugoda']",2016.0,1
Adaptation in metapopulations,['MJ Wade'],2016.0,1
Adaptive trait evolution in random environment,"['DC Jhwueng', 'V Maroulas']",2016.0,1
Antagonistic coevolution between quantitative and Mendelian traits,"['M Yamamichi', 'SP Ellner']",2016.0,1
Are heritability and selection related to population size in nature? Meta‐analysis and conservation implications,"['JLA Wood', 'MC Yates', 'DJ Fraser']",2016.0,1
"Biogeography of polymorphic phenotypes: Mapping and ecological modelling of coat colour variants in an elusive Neotropical cat, the jaguarundi (Puma …","['LG Da Silva', 'TG de Oliveira', 'CB Kasper']",2016.0,1
"Brain evolution and development: adaptation, allometry and constraint","['SH Montgomery', 'NI Mundy']",2016.0,1
"Brownian motion models, multiple characters, and phylogenies",['J Felsenstein'],2016.0,1
Challenging the Raunkiaeran shortfall and the consequences of using imputed databases,"['L Jardim', 'LM Bini', 'JAF Diniz-Filho', 'F Villalobos']",2016.0,1
Coalescence with background and balancing selection in systems with bi-and uniparental reproduction: contrasting partial asexuality and selfing,"['AF Agrawal', 'M Hartfield']",2016.0,1
Collective fluctuations in the dynamics of adaptation and other traveling waves,"['O Hallatschek', 'L Geyrhofer']",2016.0,1
Combining geometric morphometrics and finite element analysis with evolutionary modeling: towards a synthesis,"['PD Polly', 'CT Stayton', 'ER Dumont']",2016.0,1
"Concordance between stabilizing sexual selection, intraspecific variation, and interspecific divergence in Phymata","['D Punzalan', 'L Rowe']",2016.0,1
Conservation genetics of an endangered grassland butterfly (Oarisma poweshiek) reveals historically high gene flow despite recent and rapid range loss,"['EV Saarinen', 'PF Reilly', 'JD Austin']",2016.0,1
"Constraints, trade-offs and the currency of fitness",['L Acerenza'],2016.0,1
Contrasting effects of intralocus sexual conflict on sexually antagonistic coevolution,"['TM Pennell', 'FJH de Haas']",2016.0,1
"Copying error, evolution, and phylogenetic signal in artifactual traditions: An experimental approach using “model artifacts”","['K Schillinger', 'A Mesoudi', 'SJ Lycett']",2016.0,1
Detecting polygenic selection in marine populations by combining population genomics and quantitative genetics approaches,"['PA Gagnaire', 'OE Gaggiotti']",2016.0,1
Directional selection effects on patterns of phenotypic (co) variation in wild populations,"['APA Assis', 'JL Patton', 'A Hubbe']",2016.0,1
Diversification of R2R3-MYB transcription factors in the tomato family Solanaceae,"['DJ Gates', 'SR Strickler', 'LA Mueller', 'BJSC Olson']",2016.0,1
"Early agriculture in Chihuahua, Mexico","['RJ Hard', 'AC MacWilliams', 'JR Roney']",2016.0,1
Efficient recycled algorithms for quantitative trait models on phylogenies,"['G Hiscott', 'C Fox', 'M Parry']",2016.0,1
Environmental constraints and call evolution in torrent‐dwelling frogs,"['S Goutte', 'A Dubois', 'SD Howard', 'R Marquez']",2016.0,1
Estimators for QST and coalescence times,['TD Weaver'],2016.0,1
Evidence for r- and K-selection in a wild bird population: a reciprocal link between ecology and evolution,"['BE Sæther', 'ME Visser', 'V Grøtan']",2016.0,1
Evolution of craniodental correlates of diet in African Bovidae,"['IA Lazagabaster', 'J Rowan', 'JM Kamilar']",2016.0,1
"Evolution, plasticity and evolving plasticity of phenology in the tree species Alnus glutinosa","['H De Kort', 'K Vander Mijnsbrugge']",2016.0,1
Evolutionary dynamics of a quantitative trait in a finite asexual population,"['F Débarre', 'SP Otto']",2016.0,1
Evolutionary modeling and correcting for observation error support a 3/5 brain-body allometry for primates,"['M Grabowski', 'KL Voje', 'TF Hansen']",2016.0,1
Experimentally altered plumage brightness of female tree swallows: a test of the differential allocation hypothesis,"['LL Berzins', 'RD Dawson']",2016.0,1
Extensive variation in sperm morphology in a frog with no sperm competition,"['KA Stewart', 'R Wang', 'R Montgomerie']",2016.0,1
Female song occurs in songbirds with more elaborate female coloration and reduced sexual dichromatism,"['WH Webb', 'DH Brunton', 'JD Aguirre']",2016.0,1
Forecasting epidemiological and evolutionary dynamics of infectious diseases,"['S Gandon', 'T Day', 'CJE Metcalf', 'BT Grenfell']",2016.0,1
From sensing to emergent adaptations: modelling the proximate architecture for decision-making,"['S Eliassen', 'BS Andersen', 'C Jørgensen', 'J Giske']",2016.0,1
"Gene tree analyses as a means of investigating gene family evolution, species phylogenies, and hybridization in the plant subtribe Iochrominae",['DJ Gates'],2016.0,1
General methods for evolutionary quantitative genetic inference from generalized mixed models,"['P de Villemereuil', 'H Schielzeth', 'S Nakagawa']",2016.0,1
Genetic architecture of conspicuous red ornaments in female threespine stickleback,"['L Yong', 'CL Peichel', 'JS McKinnon']",2016.0,1
"Genetic networks, adaptation, & the evolution of genomic islands of divergence",['TD Hether'],2016.0,1
Genome‐wide differentiation in closely related populations: the roles of selection and geographic isolation,"['RJ Safran', 'ESC Scordato', 'MR Wilkins']",2016.0,1
Geographic variation in breeding system and environment predicts melanin-based plumage ornamentation of male and female Kentish plovers,"['A Argüelles-Ticó', 'C Küpper', 'RN Kelsh']",2016.0,1
Gillespie eco‐evolutionary models (GEM s) reveal the role of heritable trait variation in eco‐evolutionary dynamics,"['JP DeLong', 'JP Gibert']",2016.0,1
"Global change, life‐history complexity and the potential for evolutionary rescue","['DJ Marshall', 'SC Burgess']",2016.0,1
How fast is fast? Eco‐evolutionary dynamics and rates of change in populations and phenotypes,"['JP DeLong', 'VE Forbes', 'N Galic', 'JP Gibert']",2016.0,1
How the magnitude of prey genetic variation alters predator-prey eco-evolutionary dynamics,['MH Cortez'],2016.0,1
Intralocus sexual conflict and the tragedy of the commons in seed beetles,"['D Berger', 'I Martinossi-Allibert']",2016.0,1
Intrinsic differences between males and females determine sex-specific consequences of inbreeding,"['ER Ebel', 'PC Phillips']",2016.0,1
L'orologiaio cieco,['R Dawkins'],2016.0,1
Life-history patterns of lizards of the world,"['DO Mesquita', 'GC Costa', 'GR Colli']",2016.0,1
Likelihood-based parameter estimation for high-dimensional phylogenetic comparative models: overcoming the limitations of “distance-based” methods,['EW Goolsby'],2016.0,1
Marginal models via GLS: a convenient yet neglected tool for the analysis of correlated data in the behavioural sciences,"['S Pekár', 'M Brabec']",2016.0,1
Mediterranean blue tits as a case study of local adaptation,"['A Charmantier', 'C Doutrelant']",2016.0,1
"Meta‐analysis of magnitudes, differences and variation in evolutionary parameters",['MB Morrissey'],2016.0,1
"Molecular evolution of opsins, a gene responsible for sensing light, in scallops (Bivalvia: Pectinidae)",['AJ Porath-Krause'],2016.0,1
Moment equations in spatial evolutionary ecology,['S Lion'],2016.0,1
Morphological and dietary responses of chipmunks to a century of climate change,"['RE Walsh', 'AP Aprigio Assis', 'JL Patton']",2016.0,1
Mutation Is a Sufficient and Robust Predictor of Genetic Variation for Mitotic Spindle Traits in Caenorhabditis elegans,"['R Farhadifar', 'JM Ponciano', 'EC Andersen']",2016.0,1
"Mutation, eugenics, and the boundaries of science",['M Lynch'],2016.0,1
Mutually honest? Physiological 'qualities' signalled by colour ornaments in monomorphic king penguins,"['VA Viblanc', 'FS Dobson', 'A Stier', 'Q Schull']",2016.0,1
"Nonlinear selection and a blend of convergent, divergent and parallel evolution shapes natural variation in glucosinolates","['DJ Kliebenstein', 'NI Cacho']",2016.0,1
One dimensional maps as population and evolutionary dynamic models,['JM Cushing'],2016.0,1
Optimum selection and OU processes,['J Felsenstein'],2016.0,1
Phenotypic differentiation of the Red Sea gastropods in response to the environmental deterioration: geometric morphometric approach,['AA Abdelhady'],2016.0,1
Phylogenetic ANCOVA: estimating changes in evolutionary rates as well as relationships between traits,"['JA Fuentes-G', 'EA Housworth', 'A Weber']",2016.0,1
"Phylogenetic and size constrains on cranial ontogenetic allometry of spiny rats (Echimyidae, Rodentia)","['WC Tavares', 'LM Pessôa']",2016.0,1
Population perspectives on functional genomic variation in yeast,"['DA Skelly', 'PM Magwene']",2016.0,1
Porphyrins produce uniquely ephemeral animal colouration: a possible signal of virginity,"['I Galván', 'PR Camarero', 'R Mateo', 'JJ Negro']",2016.0,1
Predicting evolutionary rescue via evolving plasticity in stochastic environments,"['J Ashander', 'LM Chevin']",2016.0,1
Quantitative genetic architecture at latitudinal range boundaries: reduced variation but higher trait independence,"['A Paccard', 'J Van Buskirk', 'Y Willi']",2016.0,1
Rapid evolution of the intersexual genetic correlation for fitness in Drosophila melanogaster,"['JM Collet', 'S Fuentes', 'J Hesketh', 'MS Hill']",2016.0,1
"Scaling of morphological characters across trait type, sex, and environment: a meta-analysis of static allometries",['KL Voje'],2016.0,1
Sex and seasonal differences in hippocampal volume and neurogenesis in brood‐parasitic brown‐headed cowbirds (Molothrus ater),['MF Guigueno'],2016.0,1
Sex-specific responses to climate change in plants alter population sex ratio and performance,"['WK Petry', 'JD Soule', 'AM Iler', 'A Chicas-Mosier']",2016.0,1
Sex-specific selection and sex-biased gene expression in humans and flies,"['C Cheng', 'M Kirkpatrick']",2016.0,1
Sexual Selection and the differences between the sexes in Mandrills (Mandrillus sphinx),['JM Setchell'],2016.0,1
Sexual selection on male size drives the evolution of male‐biased sexual size dimorphism via the prolongation of male development,"['PT Rohner', 'WU Blanckenhorn', 'N Puniamoorthy']",2016.0,1
Sexual selection on skeletal shape in Carnivora,"['JS Morris', 'DR Carrier']",2016.0,1
Sexual size dimorphism in musteloids: An anomalous allometric pattern is explained by feeding ecology,"['MJ Noonan', 'PJ Johnson', 'AC Kitchener']",2016.0,1
Sexually antagonistic selection on genetic variation underlying both male and female same-sex sexual behavior,"['D Berger', 'T You', 'MR Minano']",2016.0,1
Shedding light on the 'dark side'of phylogenetic comparative methods,"['N Cooper', 'GH Thomas']",2016.0,1
Tempo does not correlate with mode in the fossil record,['KL Voje'],2016.0,1
Testing for biases in selection on avian reproductive traits and partitioning direct and indirect selection using quantitative genetic models,"['TE Reed', 'P Gienapp', 'ME Visser']",2016.0,1
The effect of intraspecific variation and heritability on community pattern and robustness,"['G Barabás', ""R D'Andrea""]",2016.0,1
The evolution of sexual dimorphism and its potential impact on host–pathogen coevolution,"['SAY Gipson', 'MD Hall']",2016.0,1
The extended phenotype: The long reach of the gene,['R Dawkins'],2016.0,1
The genetic architecture of a complex trait is more sensitive to genetic model than population growth,"['JS Sanjak', 'AD Long', 'KR Thornton']",2016.0,1
The impact of rate heterogeneity on inference of phylogenetic models of trait evolution,"['AM Chira', 'GH Thomas']",2016.0,1
The nonstationary dynamics of fitness distributions: asexual model with epistasis and standing variation,"['G Martin', 'L Roques']",2016.0,1
The phylogenetic component of food web structure and intervality,"['A Eklöf', 'DB Stouffer']",2016.0,1
The primate origins of human nature,['CP Van Schaik'],2016.0,1
The role of environment and core‐margin effects on range‐wide phenotypic variation in a montane grasshopper,"['V Noguerales', 'V García‐Navas']",2016.0,1
The spatial scale of local adaptation in a stochastic environment,['JD Hadfield'],2016.0,1
The transcriptomic basis of tissue‐ and nutrition‐dependent sexual dimorphism in the beetle Onthophagus taurus,"['CC Ledón‐Rettig', 'AP Moczek']",2016.0,1
Thyroid hormone modulates offspring sex ratio in a turtle with temperature-dependent sex determination,"['BJ Sun', 'T Li', 'Y Mu', 'JK McGlashan']",2016.0,1
Tissue specificity and sex-specific regulatory variation permit the evolution of sex-biased gene expression,"['R Dean', 'JE Mank']",2016.0,1
Tools for the occurrence of free-living and symbiotic organisms in space and time,['MB Joseph'],2016.0,1
Trait adaptation promotes species coexistence in diverse predator and prey communities,"['T Klauschies', 'DA Vasseur', 'U Gaedke']",2016.0,1
Transcriptome profiling in the damselfly Ischnura elegans identifies genes with sex-biased expression,"['P Chauhan', 'M Wellenreuther']",2016.0,1
Understanding local adaptation and effective population size in the face of complex demographic history,['KJ Gilbert'],2016.0,1
Why are estimates of the strength and direction of natural selection from wild populations not congruent with observed rates of phenotypic change?,['JFY Brookfield'],2016.0,1
A coarse-grained biophysical model of sequence evolution and the population size dependence of the speciation rate,"['BS Khatri', 'RA Goldstein']",2015.0,1
AN EVOLUTIONARY GAME‐THEORETIC MODEL OF CANNIBALISM,"['JM Cushing', 'SM Henson']",2015.0,1
Allelic diversity for neutral markers retains a higher adaptive potential for quantitative traits than expected heterozygosity,"['A Vilas', 'A Pérez‐Figueroa', 'H Quesada']",2015.0,1
"Analyzing fluctuating asymmetry with geometric morphometrics: concepts, methods, and applications",['CP Klingenberg'],2015.0,1
Anhydrobiosis and Freezing-Tolerance: Adaptations That Facilitate the Establishment of Panagrolaimus Nematodes in Polar Habitats,"['LM McGill', 'AJ Shannon', 'D Pisani', 'MA Félix', 'H Ramløv']",2015.0,1
Are molecular markers useful predictors of adaptive potential?,"['EA Mittell', 'S Nakagawa', 'JD Hadfield']",2015.0,1
Bayesian species delimitation combining multiple genes and traits in a unified framework,"['C Solís‐Lemus', 'LL Knowles', 'C Ané']",2015.0,1
Biogeography of Australasia: A Molecular Analysis.—Michael Heads,['LR Parenti'],2015.0,1
Character trees from transcriptome data: Origin and individuation of morphological characters and the so‐called “species signal”,"['JM Musser', 'GP Wagner']",2015.0,1
Climatic niches in phylogenetic comparative studies: a review of challenges and approaches,"['L Budic', 'CF Dormann']",2015.0,1
Comparative analysis of principal components can be misleading,"['JC Uyeda', 'DS Caetano', 'MW Pennell']",2015.0,1
Complex and changing patterns of natural selection explain the evolution of the human hip,"['M Grabowski', 'CC Roseman']",2015.0,1
Conflicting intersexual mate choices maintain interspecific sexual interactions,"['KI Takakura', 'T Nishida', 'K Iwao']",2015.0,1
Constraints evolve: context dependency of gene effects allows evolution of pleiotropy,"['M Pavličev', 'JM Cheverud']",2015.0,1
Cruising the rain forest floor: butterfly wing shape evolution and gliding in ground effect,"['A Cespedes', 'CM Penz', 'PJ DeVries']",2015.0,1
Cryptic eco‐evolutionary dynamics,"['MT Kinnison', 'NG Hairston Jr']",2015.0,1
Detecting adaptive evolution in phylogenetic comparative analysis using the Ornstein–Uhlenbeck model,"['CE Cressler', 'MA Butler', 'AA King']",2015.0,1
Differences in Attack Avoidance and Mating Success between Strains Artificially Selected for Dispersal Distance in Tribolium castaneum,"['K Matsumura', 'T Miyatake']",2015.0,1
Distribuição e diversidade filogenética de lagartos da Amazônia brasileira,['DP Oliveira'],2015.0,1
"Divergent selection along climatic gradients in a rare central European endemic species, Saxifraga sponhemica","['TJ Walisch', 'G Colling', 'M Bodenseh']",2015.0,1
Ecological and evolutionary applications for environmental sex reversal of fish,"['A McNair', 'PM Lokman', 'GP Closs']",2015.0,1
Ecological statistics: contemporary theory and application,"['GA Fox', 'S Negrete-Yankelevich', 'VJ Sosa']",2015.0,1
Effect of diet on the structure of animal personality,"['CS Han', 'NJ Dingemanse']",2015.0,1
Environmental effects on the structure of the G‐matrix,"['CW Wood', 'ED Brodie III']",2015.0,1
Equal temperature–size responses of the sexes are widespread within arthropod species,"['AG Hirst', 'CR Horne', 'D Atkinson']",2015.0,1
